NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,"METHOD_INVOCATION: show(((text == null) ? NULL : text), Toast.LENGTH_SHORT);",METHOD: com.blankj.utilcode.util.ToastUtils.showShort(CharSequence),com.blankj.utilcode.util.ToastUtils.showShort(CharSequence),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,"THROW_STATEMENT: new UnsupportedOperationException(u can\'t instantiate me..."");""",METHOD: com.blankj.utilcode.util.ToastUtils.ToastUtils(),com.blankj.utilcode.util.ToastUtils.ToastUtils(),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,INCREASING_ACCESSIBILITY_CHANGE,MODIFIER: private,MODIFIERS: ,com.blankj.utilcode.util.ToastUtils.ToastUtils(),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,RETURN_STATEMENT: this;,METHOD: com.blankj.utilcode.util.ToastUtils.setBgColor(int),com.blankj.utilcode.util.ToastUtils.setBgColor(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,ASSIGNMENT: sBgColor = backgroundColor;,METHOD: com.blankj.utilcode.util.ToastUtils.setBgColor(int),com.blankj.utilcode.util.ToastUtils.setBgColor(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVING_METHOD_OVERRIDABILITY,MODIFIER: final,MODIFIERS: ,com.blankj.utilcode.util.ToastUtils.setBgColor(int),CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,UNCLASSIFIED_CHANGE,MODIFIER: static,MODIFIERS: ,com.blankj.utilcode.util.ToastUtils.setBgColor(int),NONE
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,DOC_UPDATE,"JAVADOC: /**
     * Set the color of background.
     *
     * @param backgroundColor The color of background.
     */",METHOD: com.blankj.utilcode.util.ToastUtils.setBgColor(int),com.blankj.utilcode.util.ToastUtils.setBgColor(int),NONE
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,RETURN_TYPE_INSERT,SINGLE_TYPE: com.blankj.utilcode.util.ToastUtils.setBgColor(int): ToastUtils,METHOD: com.blankj.utilcode.util.ToastUtils.setBgColor(int),com.blankj.utilcode.util.ToastUtils.setBgColor(int),CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,CONDITION_EXPRESSION_CHANGE,IF_STATEMENT: (sBgResource != (- 1)),METHOD: com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,METHOD_INVOCATION: mToastView.setBackgroundResource(sBgResource);,THEN_STATEMENT: (sBgResource != (- 1)),com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,METHOD_INVOCATION: tvMsg.setBackgroundColor(Color.TRANSPARENT);,THEN_STATEMENT: (sBgResource != (- 1)),com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,CONDITION_EXPRESSION_CHANGE,IF_STATEMENT: (sBgColor != COLOR_DEFAULT),ELSE_STATEMENT: (sBgResource != (- 1)),com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,VARIABLE_DECLARATION_STATEMENT: Drawable tvBg = mToastView.getBackground();,THEN_STATEMENT: (sBgColor != COLOR_DEFAULT),com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,VARIABLE_DECLARATION_STATEMENT: Drawable msgBg = tvMsg.getBackground();,THEN_STATEMENT: (sBgColor != COLOR_DEFAULT),com.blankj.utilcode.util.ToastUtils.AbsToast.setBg(TextView),LOW
