INSERTION,DELETION,SUM,SUBTRACT
1,1,2,0
71,78,149,-7
64,0,64,64
64,0,64,64
71,78,149,-7
1,1,2,0
2,1,3,1
2,4,6,-2
2,3,5,-1
2,3,5,-1
4,5,9,-1
2,3,5,-1
2,3,5,-1
4,5,9,-1
1,3,4,-2
2,3,5,-1
2,3,5,-1
2,3,5,-1
3,6,9,-3
2,3,5,-1
3,3,6,0
2,1,3,1
2,4,6,-2
2,3,5,-1
2,3,5,-1
4,5,9,-1
2,3,5,-1
2,3,5,-1
4,5,9,-1
1,3,4,-2
2,3,5,-1
2,3,5,-1
2,3,5,-1
3,6,9,-3
2,3,5,-1
3,3,6,0
4,0,4,4
14,0,14,14
1,1,2,0
1,1,2,0
12,0,12,12
5,3,8,2
3,1,4,2
102,1,103,101
5,3,8,2
3,1,4,2
102,1,103,101
1,1,2,0
1,1,2,0
2,2,4,0
6,6,12,0
9,26,35,-17
82,32,114,50
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
6,6,12,0
9,26,35,-17
82,32,114,50
1,1,2,0
2,2,4,0
534,0,534,534
12,3,15,9
1,1,2,0
204,0,204,204
1,1,2,0
2,2,4,0
534,0,534,534
12,3,15,9
1,1,2,0
204,0,204,204
1,1,2,0
1,0,1,1
18,5,23,13
63,20,83,43
1,0,1,1
18,5,23,13
63,20,83,43
19,0,19,19
1,1,2,0
25,1,26,24
1,1,2,0
25,1,26,24
19,0,19,19
1,1,2,0
12,0,12,12
1,1,2,0
1,1,2,0
1,1,2,0
169,50,219,119
10,7,17,3
10,0,10,10
0,28,28,-28
0,82,82,-82
17,22,39,-5
0,72,72,-72
19,5,24,14
52,18,70,34
27,15,42,12
10,10,20,0
73,20,93,53
7,6,13,1
3,3,6,0
4,61,65,-57
72,0,72,72
8,2,10,6
1,1,2,0
1,0,1,1
26,9,35,17
8,6,14,2
77,0,77,77
35,19,54,16
85,0,85,85
12,3,15,9
5,1,6,4
3,3,6,0
3,3,6,0
34,70,104,-36
100,0,100,100
275,0,275,275
107,0,107,107
0,5,5,-5
87,0,87,87
94,0,94,94
4,2,6,2
80,0,80,80
215,0,215,215
135,0,135,135
0,32,32,-32
0,133,133,-133
0,110,110,-110
0,13,13,-13
0,12,12,-12
0,175,175,-175
0,11,11,-11
0,11,11,-11
0,12,12,-12
0,20,20,-20
0,20,20,-20
0,100,100,-100
0,71,71,-71
66,27,93,39
2,6,8,-4
16,9,25,7
305,44,349,261
66,27,93,39
16,9,25,7
301,40,341,261
2,6,8,-4
16,16,32,0
169,50,219,119
10,7,17,3
10,0,10,10
0,28,28,-28
0,82,82,-82
17,22,39,-5
0,72,72,-72
19,5,24,14
52,18,70,34
27,15,42,12
10,10,20,0
73,20,93,53
7,6,13,1
3,3,6,0
4,61,65,-57
72,0,72,72
8,2,10,6
1,1,2,0
1,0,1,1
26,9,35,17
8,6,14,2
77,0,77,77
35,19,54,16
85,0,85,85
12,3,15,9
5,1,6,4
3,3,6,0
3,3,6,0
34,70,104,-36
100,0,100,100
275,0,275,275
107,0,107,107
0,5,5,-5
87,0,87,87
94,0,94,94
4,2,6,2
80,0,80,80
215,0,215,215
135,0,135,135
0,32,32,-32
0,133,133,-133
0,110,110,-110
0,13,13,-13
0,12,12,-12
0,175,175,-175
0,11,11,-11
0,11,11,-11
0,12,12,-12
0,20,20,-20
0,20,20,-20
0,100,100,-100
0,71,71,-71
7,0,7,7
41,2,43,39
4,1,5,3
1,1,2,0
1,0,1,1
7,0,7,7
1,1,2,0
1,1,2,0
15,15,30,0
3,3,6,0
3,3,6,0
7,1,8,6
7,6,13,1
7,1,8,6
7,6,13,1
3,3,6,0
15,15,30,0
2,0,2,2
1,1,2,0
1,1,2,0
5,0,5,5
6,0,6,6
6,0,6,6
5,0,5,5
6,0,6,6
6,0,6,6
7,0,7,7
15,10,25,5
10,30,40,-20
48,2,50,46
7,4,11,3
5,1,6,4
7,4,11,3
3,2,5,1
31,0,31,31
20,6,26,14
56,0,56,56
57,0,57,57
5,22,27,-17
3,2,5,1
26,29,55,-3
37,0,37,37
76,0,76,76
42,0,42,42
47,0,47,47
34,0,34,34
51,0,51,51
42,0,42,42
0,51,51,-51
5,0,5,5
31,0,31,31
9,0,9,9
100,0,100,100
1,1,2,0
2,2,4,0
2,2,4,0
22,168,190,-146
1,498,499,-497
3,1275,1278,-1272
211,6900,7111,-6689
0,60,60,-60
3,324,327,-321
1,1,2,0
1344,0,1344,1344
43,0,43,43
898,0,898,898
0,83,83,-83
29,188,217,-159
23,49,72,-26
11,176,187,-165
38,26,64,12
5,4,9,1
5,223,228,-218
0,71,71,-71
22,28,50,-6
0,6,6,-6
0,6,6,-6
92,7,99,85
62,0,62,62
3,86,89,-83
0,202,202,-202
0,72,72,-72
1,50,51,-49
15,690,705,-675
10,664,674,-654
3,212,215,-209
497,0,497,497
1287,0,1287,1287
64,0,64,64
332,0,332,332
5285,0,5285,5285
6810,0,6810,6810
84,0,84,84
190,0,190,190
169,0,169,169
48,0,48,48
165,0,165,165
225,0,225,225
111,0,111,111
94,0,94,94
212,0,212,212
76,0,76,76
52,0,52,52
678,0,678,678
661,0,661,661
221,0,221,221
17,1,18,16
2,0,2,2
38,26,64,12
5,4,9,1
17,1,18,16
2,2,4,0
2,2,4,0
22,168,190,-146
1,498,499,-497
3,1275,1278,-1272
211,6900,7111,-6689
0,60,60,-60
3,324,327,-321
1,1,2,0
1344,0,1344,1344
43,0,43,43
896,0,896,896
0,83,83,-83
29,188,217,-159
23,49,72,-26
11,176,187,-165
5,4,9,1
5,223,228,-218
0,71,71,-71
22,28,50,-6
0,6,6,-6
0,6,6,-6
92,7,99,85
62,0,62,62
3,86,89,-83
0,202,202,-202
0,72,72,-72
1,50,51,-49
15,690,705,-675
10,664,674,-654
3,212,215,-209
497,0,497,497
1287,0,1287,1287
64,0,64,64
332,0,332,332
5285,0,5285,5285
6809,0,6809,6809
84,0,84,84
190,0,190,190
169,0,169,169
48,0,48,48
165,0,165,165
225,0,225,225
111,0,111,111
94,0,94,94
212,0,212,212
76,0,76,76
52,0,52,52
678,0,678,678
661,0,661,661
221,0,221,221
1,1,2,0
7,0,7,7
48,2,50,46
4,2,6,2
7,4,11,3
3,2,5,1
20,6,26,14
5,22,27,-17
3,2,5,1
0,51,51,-51
2,0,2,2
18,0,18,18
9,0,9,9
15,10,25,5
9,29,38,-20
3,2,5,1
5,1,6,4
31,0,31,31
56,0,56,56
57,0,57,57
26,29,55,-3
37,0,37,37
76,0,76,76
42,0,42,42
47,0,47,47
34,0,34,34
51,0,51,51
42,0,42,42
3,0,3,3
13,0,13,13
100,0,100,100
1,1,2,0
1,1,2,0
169,0,169,169
38,0,38,38
66,0,66,66
93,0,93,93
47,0,47,47
28,0,28,28
77,0,77,77
94,0,94,94
72,0,72,72
109,0,109,109
112,0,112,112
110,0,110,110
59,0,59,59
69,0,69,69
44,0,44,44
70,0,70,70
38,0,38,38
73,0,73,73
85,0,85,85
44,0,44,44
38,0,38,38
184,0,184,184
99,0,99,99
51,0,51,51
128,0,128,128
0,0,0,0
64,0,64,64
11,0,11,11
11,0,11,11
13,0,13,13
22,0,22,22
27,0,27,27
102,0,102,102
110,0,110,110
13,0,13,13
12,0,12,12
166,0,166,166
11,0,11,11
11,0,11,11
12,0,12,12
69,0,69,69
20,0,20,20
20,0,20,20
71,0,71,71
0,0,0,0
1,0,1,1
169,0,169,169
38,0,38,38
66,0,66,66
93,0,93,93
47,0,47,47
28,0,28,28
77,0,77,77
94,0,94,94
72,0,72,72
109,0,109,109
112,0,112,112
110,0,110,110
59,0,59,59
69,0,69,69
44,0,44,44
70,0,70,70
